activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(100,)	adaptive	1000	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.001	True	(100,)	adaptive	500	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.001	True	(100,)	constant	500	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.001	True	(100,)	constant	1000	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.001	True	(100,)	invscaling	500	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.001	True	(100,)	invscaling	1000	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.1	True	(100,)	adaptive	500	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.1	True	(100,)	invscaling	1000	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.1	True	(100,)	invscaling	500	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.1	True	(100,)	constant	1000	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.001	True	(100,)	adaptive	1000	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.1	True	(100,)	constant	500	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.01	True	(100,)	adaptive	500	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.01	True	(100,)	invscaling	500	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.01	True	(100,)	constant	1000	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.01	True	(100,)	constant	500	adam	0.9274647887323944	0.9848888888888888	0.9116049948447703
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.9400625978090767	0.974028242289112	0.9292373124069195
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.9400625978090767	0.974028242289112	0.9292373124069195
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.9400625978090767	0.974028242289112	0.9292373124069195
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.9400625978090767	0.974028242289112	0.9292373124069195
logistic	0.01	True	(100, 100)	constant	500	adam	0.9400625978090767	0.974028242289112	0.9292373124069195
logistic	0.001	True	(100, 100)	constant	500	adam	0.9400625978090767	0.974028242289112	0.9292373124069195
logistic	0.01	True	(100, 100)	constant	1000	adam	0.9400625978090767	0.974028242289112	0.9292373124069195
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.9400625978090767	0.974028242289112	0.9292373124069195
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.9400625978090767	0.974028242289112	0.9292373124069195
logistic	0.001	True	(100, 100)	constant	1000	adam	0.9400625978090767	0.974028242289112	0.9292373124069195
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.9400625978090767	0.974028242289112	0.9292373124069195
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.9400625978090767	0.974028242289112	0.9292373124069195
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.9400821596244132	0.973830613830614	0.9292988887615993
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.9400821596244132	0.973830613830614	0.9292988887615993
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.9400821596244132	0.973830613830614	0.9292988887615993
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.9400821596244132	0.973830613830614	0.9292988887615993
logistic	0.1	True	(100, 100)	constant	1000	adam	0.9400821596244132	0.973830613830614	0.9292988887615993
logistic	0.1	True	(100, 100)	constant	500	adam	0.9400821596244132	0.973830613830614	0.9292988887615993
relu	0.1	True	(100, 100)	invscaling	500	adam	0.9553990610328638	0.9623627075351214	0.9506945240004582
relu	0.1	True	(100, 100)	adaptive	500	adam	0.9553990610328638	0.9623627075351214	0.9506945240004582
relu	0.1	True	(100, 100)	constant	500	adam	0.9553990610328638	0.9623627075351214	0.9506945240004582
relu	0.1	True	(100, 100)	invscaling	1000	adam	0.9553990610328638	0.9623627075351214	0.9506945240004582
relu	0.1	True	(100, 100)	adaptive	1000	adam	0.9553990610328638	0.9623627075351214	0.9506945240004582
relu	0.1	True	(100, 100)	constant	1000	adam	0.9553990610328638	0.9623627075351214	0.9506945240004582
relu	0.001	True	(100, 100)	adaptive	500	adam	0.9539906103286386	0.9586590038314178	0.9495317333027838
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.9539906103286386	0.9586590038314178	0.9495317333027838
relu	0.01	True	(100, 100)	adaptive	1000	adam	0.9539906103286386	0.9586590038314178	0.9495317333027838
relu	0.001	True	(100, 100)	constant	500	adam	0.9539906103286386	0.9586590038314178	0.9495317333027838
relu	0.001	True	(100, 100)	constant	1000	adam	0.9539906103286386	0.9586590038314178	0.9495317333027838
relu	0.01	True	(100, 100)	invscaling	500	adam	0.9539906103286386	0.9586590038314178	0.9495317333027838
relu	0.001	True	(100, 100)	invscaling	1000	adam	0.9539906103286386	0.9586590038314178	0.9495317333027838
relu	0.001	True	(100, 100)	invscaling	500	adam	0.9539906103286386	0.9586590038314178	0.9495317333027838
relu	0.01	True	(100, 100)	constant	500	adam	0.9539906103286386	0.9586590038314178	0.9495317333027838
relu	0.001	True	(100, 100)	adaptive	1000	adam	0.9539906103286386	0.9586590038314178	0.9495317333027838
relu	0.01	True	(100, 100)	adaptive	500	adam	0.9539906103286386	0.9586590038314178	0.9495317333027838
relu	0.01	True	(100, 100)	constant	1000	adam	0.9539906103286386	0.9586590038314178	0.9495317333027838
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.9400234741784038	0.9552501151055101	0.9327285485164394
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.9428012519561815	0.9552501151055101	0.9361768243785085
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.9428012519561815	0.9552501151055101	0.9361768243785085
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.9428012519561815	0.9552501151055101	0.9361768243785085
logistic	0.001	True	(50, 50)	constant	1000	adam	0.9428012519561815	0.9552501151055101	0.9361768243785085
logistic	0.001	True	(50, 50)	constant	500	adam	0.9428012519561815	0.9552501151055101	0.9361768243785085
logistic	0.1	True	(50, 50)	constant	500	adam	0.9400234741784038	0.9552501151055101	0.9327285485164394
logistic	0.1	True	(50, 50)	constant	1000	adam	0.9400234741784038	0.9552501151055101	0.9327285485164394
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.9400234741784038	0.9552501151055101	0.9327285485164394
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.9400234741784038	0.9552501151055101	0.9327285485164394
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.9400234741784038	0.9552501151055101	0.9327285485164394
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.9428012519561815	0.9552501151055101	0.9361768243785085
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.9428012519561815	0.9552501151055101	0.9361768243785085
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.9428012519561815	0.9552501151055101	0.9361768243785085
