C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10.0	0.01	rbf	0.7059272300469484	1.0	0.6330049261083743
1.0	0.01	rbf	0.6696205007824726	1.0	0.5875615763546798
1000.0	0.01	rbf	0.7059272300469484	1.0	0.6330049261083743
100.0	0.01	rbf	0.7059272300469484	1.0	0.6330049261083743
0.01	0.01	linear	0.9763302034428794	0.9705302187615871	0.9757417802726543
0.01	0.1	linear	0.9763302034428794	0.9705302187615871	0.9757417802726543
0.01	1.0	linear	0.9763302034428794	0.9705302187615871	0.9757417802726543
0.01	100.0	linear	0.9763302034428794	0.9705302187615871	0.9757417802726543
0.01	1000.0	linear	0.9763302034428794	0.9705302187615871	0.9757417802726543
100.0	0.1	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
10.0	0.1	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
10.0	1.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
10.0	100.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
10.0	1000.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
100.0	0.01	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
100.0	1000.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
100.0	1.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
100.0	100.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
1.0	100.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
1000.0	0.01	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
1000.0	0.1	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
1000.0	1.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
1000.0	100.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
1000.0	1000.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
1.0	1000.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
10.0	0.01	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
0.1	1000.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
1.0	1.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
0.1	1.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
0.1	0.1	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
1.0	0.1	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
0.1	100.0	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
1.0	0.01	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
0.1	0.01	linear	0.9749217527386541	0.9673118279569893	0.97457898957498
1.0	1.0	rbf	0.5997456964006259	0.0	0.5
100.0	1000.0	rbf	0.5997456964006259	0.0	0.5
0.1	0.01	rbf	0.5997456964006259	0.0	0.5
1000.0	0.1	rbf	0.5997456964006259	0.0	0.5
0.01	1000.0	rbf	0.5997456964006259	0.0	0.5
0.1	0.1	rbf	0.5997456964006259	0.0	0.5
0.01	100.0	rbf	0.5997456964006259	0.0	0.5
1000.0	1.0	rbf	0.5997456964006259	0.0	0.5
0.01	1.0	rbf	0.5997456964006259	0.0	0.5
1000.0	100.0	rbf	0.5997456964006259	0.0	0.5
0.01	0.1	rbf	0.5997456964006259	0.0	0.5
100.0	100.0	rbf	0.5997456964006259	0.0	0.5
100.0	0.1	rbf	0.5997456964006259	0.0	0.5
100.0	1.0	rbf	0.5997456964006259	0.0	0.5
1.0	100.0	rbf	0.5997456964006259	0.0	0.5
0.1	1.0	rbf	0.5997456964006259	0.0	0.5
0.1	100.0	rbf	0.5997456964006259	0.0	0.5
10.0	1000.0	rbf	0.5997456964006259	0.0	0.5
10.0	100.0	rbf	0.5997456964006259	0.0	0.5
0.1	1000.0	rbf	0.5997456964006259	0.0	0.5
10.0	1.0	rbf	0.5997456964006259	0.0	0.5
10.0	0.1	rbf	0.5997456964006259	0.0	0.5
1.0	0.1	rbf	0.5997456964006259	0.0	0.5
0.01	0.01	rbf	0.5997456964006259	0.0	0.5
1.0	1000.0	rbf	0.5997456964006259	0.0	0.5
1000.0	1000.0	rbf	0.5997456964006259	0.0	0.5
