max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10	log2	2	2	600	0.962148337595908	0.9961538461538462	0.950144901610018
12	log2	2	2	200	0.9621057118499573	0.9961538461538462	0.9499910554561717
12	log2	2	4	200	0.9621057118499573	0.9961538461538462	0.9499910554561717
10	log2	2	4	1000	0.9650682011935208	0.9961538461538462	0.9540679785330948
8	log2	2	4	1000	0.9650682011935208	0.9961538461538462	0.9540679785330948
8	log2	2	4	600	0.963618925831202	0.9961538461538462	0.952144901610018
10	log2	2	2	200	0.9607203751065644	0.9961538461538462	0.9482987477638639
8	log2	2	2	1000	0.9650682011935208	0.9961538461538462	0.9540679785330948
8	log2	2	2	600	0.963618925831202	0.9961538461538462	0.952144901610018
10	log2	2	4	600	0.962148337595908	0.9961538461538462	0.950144901610018
10	log2	2	2	1000	0.9650682011935208	0.9961538461538462	0.9540679785330948
10	log2	2	4	200	0.9607203751065644	0.9961538461538462	0.9482987477638639
8	log2	2	2	200	0.9606777493606138	0.9960000000000001	0.9481449016100179
8	log2	2	4	200	0.9606777493606138	0.9960000000000001	0.9481449016100179
12	sqrt	2	4	1000	0.9650255754475703	0.9916083916083916	0.9547513416815743
10	sqrt	2	2	1000	0.9650255754475703	0.9916083916083916	0.9547513416815743
8	sqrt	2	4	600	0.9650468883205455	0.9916083916083916	0.9548282647584972
10	sqrt	2	4	1000	0.9650255754475703	0.9916083916083916	0.9547513416815743
12	sqrt	2	4	600	0.9664961636828645	0.9916083916083916	0.9567513416815743
12	sqrt	2	2	600	0.9664961636828645	0.9916083916083916	0.9567513416815743
6	log2	2	4	1000	0.9665174765558397	0.9916083916083916	0.9568282647584972
6	log2	2	4	600	0.9665174765558397	0.9916083916083916	0.9568282647584972
6	log2	2	2	1000	0.9665174765558397	0.9916083916083916	0.9568282647584972
10	log2	2	10	1000	0.9635976129582268	0.9916083916083916	0.9529051878354204
10	log2	2	8	1000	0.9635976129582268	0.9916083916083916	0.9529051878354204
8	log2	2	8	600	0.9650682011935208	0.9916083916083916	0.9549051878354204
8	log2	2	10	600	0.962148337595908	0.9916083916083916	0.9509821109123436
12	sqrt	2	2	1000	0.9650255754475703	0.9916083916083916	0.9547513416815743
8	sqrt	2	2	600	0.9650468883205455	0.9916083916083916	0.9548282647584972
8	sqrt	2	4	1000	0.9665174765558397	0.9916083916083916	0.9568282647584972
6	log2	2	2	600	0.9665174765558397	0.9916083916083916	0.9568282647584972
8	sqrt	2	2	1000	0.9665174765558397	0.9916083916083916	0.9568282647584972
8	log2	4	10	600	0.9650682011935208	0.9916083916083916	0.9549051878354204
12	log2	4	8	1000	0.9635763000852513	0.9916083916083916	0.9528282647584974
12	log2	4	4	1000	0.9635763000852513	0.9916083916083916	0.9528282647584974
12	log2	2	4	1000	0.9621483375959079	0.9916083916083916	0.9509821109123434
12	log2	4	2	1000	0.9635763000852513	0.9916083916083916	0.9528282647584974
12	log2	2	2	1000	0.9621483375959079	0.9916083916083916	0.9509821109123434
