activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
tanh	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9401098901098901	0.9875	0.9416666666666667
tanh	0.001	True	(50, 50)	adaptive	1000	lbfgs	0.9478021978021978	0.9875	0.9488095238095238
tanh	0.001	True	(50, 50)	invscaling	1000	lbfgs	0.9478021978021978	0.9875	0.9488095238095238
tanh	0.001	True	(50, 50)	invscaling	500	lbfgs	0.9478021978021978	0.9875	0.9488095238095238
tanh	0.001	True	(50, 50)	constant	1000	lbfgs	0.9478021978021978	0.9875	0.9488095238095238
tanh	0.001	True	(50, 50)	constant	500	lbfgs	0.9478021978021978	0.9875	0.9488095238095238
tanh	0.001	True	(50, 50)	adaptive	500	lbfgs	0.9478021978021978	0.9875	0.9488095238095238
tanh	0.01	True	(50, 50)	constant	500	lbfgs	0.9401098901098901	0.9875	0.9416666666666667
tanh	0.01	True	(50, 50)	constant	1000	lbfgs	0.9401098901098901	0.9875	0.9416666666666667
tanh	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9401098901098901	0.9875	0.9416666666666667
tanh	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9401098901098901	0.9875	0.9416666666666667
tanh	0.01	True	(50, 50)	invscaling	500	lbfgs	0.9401098901098901	0.9875	0.9416666666666667
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9549450549450549	0.9777777777777779	0.9547619047619047
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9549450549450549	0.9777777777777779	0.9547619047619047
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9549450549450549	0.9777777777777779	0.9547619047619047
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.9549450549450549	0.9777777777777779	0.9547619047619047
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.9549450549450549	0.9777777777777779	0.9547619047619047
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9549450549450549	0.9777777777777779	0.9547619047619047
logistic	0.1	True	(100, 100)	constant	1000	lbfgs	0.9549450549450549	0.9777777777777779	0.9547619047619047
logistic	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9549450549450549	0.9777777777777779	0.9547619047619047
logistic	0.1	True	(100, 100)	constant	500	lbfgs	0.9549450549450549	0.9777777777777779	0.9547619047619047
logistic	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9549450549450549	0.9777777777777779	0.9547619047619047
logistic	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9549450549450549	0.9777777777777779	0.9547619047619047
logistic	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9549450549450549	0.9777777777777779	0.9547619047619047
logistic	0.01	True	(50,)	invscaling	500	lbfgs	0.9401098901098901	0.975	0.9404761904761905
tanh	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9549450549450549	0.975	0.9547619047619047
logistic	0.001	True	(100,)	constant	1000	lbfgs	0.9478021978021978	0.975	0.9476190476190476
logistic	0.001	True	(100,)	constant	500	lbfgs	0.9478021978021978	0.975	0.9476190476190476
tanh	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9549450549450549	0.975	0.9547619047619047
logistic	0.001	True	(50,)	adaptive	1000	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.01	True	(100, 100)	constant	500	lbfgs	0.9549450549450549	0.975	0.9547619047619047
logistic	0.001	True	(100,)	invscaling	500	lbfgs	0.9478021978021978	0.975	0.9476190476190476
tanh	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9549450549450549	0.975	0.9547619047619047
logistic	0.001	True	(50,)	adaptive	500	lbfgs	0.9401098901098901	0.975	0.9404761904761905
tanh	0.001	True	(50,)	constant	500	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.001	True	(50,)	invscaling	1000	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9324175824175824	0.975	0.9333333333333333
logistic	0.001	True	(100,)	invscaling	1000	lbfgs	0.9478021978021978	0.975	0.9476190476190476
tanh	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9549450549450549	0.975	0.9547619047619047
logistic	0.01	True	(50,)	invscaling	1000	lbfgs	0.9401098901098901	0.975	0.9404761904761905
tanh	0.01	True	(50,)	invscaling	500	lbfgs	0.9401098901098901	0.975	0.9404761904761905
tanh	0.1	True	(50, 50)	constant	1000	lbfgs	0.9549450549450549	0.975	0.9547619047619047
logistic	0.01	True	(50,)	adaptive	500	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.001	True	(100,)	adaptive	500	lbfgs	0.9478021978021978	0.975	0.9476190476190476
tanh	0.1	True	(50, 50)	constant	500	lbfgs	0.9549450549450549	0.975	0.9547619047619047
logistic	0.001	True	(100,)	adaptive	1000	lbfgs	0.9478021978021978	0.975	0.9476190476190476
logistic	0.001	True	(100, 100)	constant	1000	lbfgs	0.9324175824175824	0.975	0.9333333333333333
logistic	0.01	True	(50,)	adaptive	1000	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.01	True	(100,)	adaptive	1000	lbfgs	0.9478021978021978	0.975	0.9476190476190476
logistic	0.001	True	(100, 100)	constant	500	lbfgs	0.9324175824175824	0.975	0.9333333333333333
tanh	0.001	True	(50,)	constant	1000	lbfgs	0.9401098901098901	0.975	0.9404761904761905
tanh	0.001	True	(50,)	invscaling	500	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.001	True	(50,)	invscaling	500	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.01	True	(100,)	adaptive	500	lbfgs	0.9478021978021978	0.975	0.9476190476190476
logistic	0.01	True	(100, 100)	constant	1000	lbfgs	0.9549450549450549	0.975	0.9547619047619047
logistic	0.01	True	(100,)	invscaling	1000	lbfgs	0.9478021978021978	0.975	0.9476190476190476
tanh	0.01	True	(50,)	invscaling	1000	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9549450549450549	0.975	0.9547619047619047
tanh	0.01	True	(50,)	constant	1000	lbfgs	0.9401098901098901	0.975	0.9404761904761905
tanh	0.01	True	(50,)	adaptive	500	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9549450549450549	0.975	0.9547619047619047
logistic	0.01	True	(100,)	invscaling	500	lbfgs	0.9478021978021978	0.975	0.9476190476190476
tanh	0.01	True	(50,)	constant	500	lbfgs	0.9401098901098901	0.975	0.9404761904761905
tanh	0.01	True	(50,)	adaptive	1000	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9549450549450549	0.975	0.9547619047619047
tanh	0.001	True	(50,)	invscaling	1000	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9324175824175824	0.975	0.9333333333333333
logistic	0.01	True	(100,)	constant	1000	lbfgs	0.9478021978021978	0.975	0.9476190476190476
logistic	0.01	True	(50,)	constant	500	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.01	True	(100,)	constant	500	lbfgs	0.9478021978021978	0.975	0.9476190476190476
logistic	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9324175824175824	0.975	0.9333333333333333
logistic	0.01	True	(50,)	constant	1000	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.001	True	(50,)	constant	500	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9324175824175824	0.975	0.9333333333333333
tanh	0.001	True	(50,)	adaptive	1000	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.001	True	(50,)	constant	1000	lbfgs	0.9401098901098901	0.975	0.9404761904761905
tanh	0.001	True	(50,)	adaptive	500	lbfgs	0.9401098901098901	0.975	0.9404761904761905
logistic	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9549450549450549	0.975	0.9547619047619047
logistic	0.1	True	(100,)	invscaling	500	lbfgs	0.9472527472527472	0.9652777777777779	0.9464285714285714
logistic	0.1	True	(100,)	adaptive	1000	lbfgs	0.9472527472527472	0.9652777777777779	0.9464285714285714
logistic	0.1	True	(100,)	constant	1000	lbfgs	0.9472527472527472	0.9652777777777779	0.9464285714285714
logistic	0.1	True	(100,)	invscaling	1000	lbfgs	0.9472527472527472	0.9652777777777779	0.9464285714285714
logistic	0.1	True	(100,)	constant	500	lbfgs	0.9472527472527472	0.9652777777777779	0.9464285714285714
logistic	0.1	True	(100,)	adaptive	500	lbfgs	0.9472527472527472	0.9652777777777779	0.9464285714285714
identity	0.001	True	(50, 50)	adaptive	500	lbfgs	0.9324175824175824	0.9625	0.9321428571428573
identity	0.001	True	(50, 50)	invscaling	500	lbfgs	0.9324175824175824	0.9625	0.9321428571428573
identity	0.001	True	(50, 50)	invscaling	1000	lbfgs	0.9324175824175824	0.9625	0.9321428571428573
identity	0.001	True	(50, 50)	constant	500	lbfgs	0.9324175824175824	0.9625	0.9321428571428573
identity	0.001	True	(50, 50)	constant	1000	lbfgs	0.9324175824175824	0.9625	0.9321428571428573
identity	0.001	True	(50, 50)	adaptive	1000	lbfgs	0.9324175824175824	0.9625	0.9321428571428573
logistic	0.001	True	(50, 50)	constant	500	lbfgs	0.9324175824175824	0.9607142857142857	0.9321428571428572
logistic	0.001	True	(50, 50)	adaptive	1000	lbfgs	0.9324175824175824	0.9607142857142857	0.9321428571428572
logistic	0.001	True	(50, 50)	constant	1000	lbfgs	0.9324175824175824	0.9607142857142857	0.9321428571428572
logistic	0.001	True	(50, 50)	invscaling	500	lbfgs	0.9324175824175824	0.9607142857142857	0.9321428571428572
logistic	0.001	True	(50, 50)	invscaling	1000	lbfgs	0.9324175824175824	0.9607142857142857	0.9321428571428572
logistic	0.001	True	(50, 50)	adaptive	500	lbfgs	0.9324175824175824	0.9607142857142857	0.9321428571428572
tanh	0.1	True	(100, 100)	constant	500	lbfgs	0.9318681318681319	0.9527777777777778	0.930952380952381
logistic	0.01	True	(50, 50)	invscaling	500	lbfgs	0.9395604395604396	0.9527777777777778	0.9380952380952381
logistic	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9395604395604396	0.9527777777777778	0.9380952380952381
relu	0.1	True	(50,)	invscaling	1000	lbfgs	0.9472527472527472	0.9527777777777778	0.9452380952380952
logistic	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9395604395604396	0.9527777777777778	0.9380952380952381
logistic	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9395604395604396	0.9527777777777778	0.9380952380952381
tanh	0.1	True	(100,)	constant	500	lbfgs	0.9467032967032967	0.9527777777777778	0.9452380952380952
logistic	0.1	True	(50, 50)	constant	1000	lbfgs	0.9395604395604396	0.9527777777777778	0.9380952380952381
tanh	0.1	True	(100, 100)	constant	1000	lbfgs	0.9318681318681319	0.9527777777777778	0.930952380952381
tanh	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9318681318681319	0.9527777777777778	0.930952380952381
logistic	0.1	True	(50, 50)	constant	500	lbfgs	0.9395604395604396	0.9527777777777778	0.9380952380952381
tanh	0.1	True	(50,)	invscaling	500	lbfgs	0.9395604395604396	0.9527777777777778	0.9380952380952381
tanh	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9318681318681319	0.9527777777777778	0.930952380952381
relu	0.1	True	(50,)	adaptive	500	lbfgs	0.9472527472527472	0.9527777777777778	0.9452380952380952
relu	0.1	True	(50,)	invscaling	500	lbfgs	0.9472527472527472	0.9527777777777778	0.9452380952380952
tanh	0.1	True	(50,)	invscaling	1000	lbfgs	0.9395604395604396	0.9527777777777778	0.9380952380952381
logistic	0.01	True	(50, 50)	constant	1000	lbfgs	0.9395604395604396	0.9527777777777778	0.9380952380952381
logistic	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9395604395604396	0.9527777777777778	0.9380952380952381
tanh	0.1	True	(100,)	adaptive	1000	lbfgs	0.9467032967032967	0.9527777777777778	0.9452380952380952
tanh	0.1	True	(50,)	constant	1000	lbfgs	0.9395604395604396	0.9527777777777778	0.9380952380952381
